1,Nvidia,NVDA,7.34%,Semiconductors & Semiconductor Equipment
2,Apple Inc.,AAPL,6.75%,"Technology Hardware, Storage & Peripherals"
3,Microsoft,MSFT,5.83%,Software
7,Broadcom,AVGO,2.95%,Semiconductors & Semiconductor Equipment
15,Oracle Corporation,ORCL,0.94%,Software
22,Palantir Technologies,PLTR,0.64%,Software
24,Advanced Micro Devices,AMD,0.58%,Semiconductors & Semiconductor Equipment
29,Cisco,CSCO,0.50%,Communications Equipment
32,IBM,IBM,0.47%,IT Services
36,Micron Technology,MU,0.42%,Semiconductors & Semiconductor Equipment
46,Salesforce,CRM,0.36%,Software
50,AppLovin Corporation,APP,0.31%,Software
51,Lam Research,LRCX,0.31%,Semiconductors & Semiconductor Equipment
52,Applied Materials,AMAT,0.30%,Semiconductors & Semiconductor Equipment
54,Intuit,INTU,0.30%,Software
58,Qualcomm,QCOM,0.29%,Semiconductors & Semiconductor Equipment
61,Intel,INTC,0.28%,Semiconductors & Semiconductor Equipment
63,ServiceNow,NOW,0.28%,Software
64,Amphenol,APH,0.28%,"Electronic Equipment, Instruments & Components"
72,Arista Networks,ANET,0.25%,Communications Equipment
73,Accenture,ACN,0.25%,IT Services
74,KLA Corporation,KLAC,0.25%,Semiconductors & Semiconductor Equipment
76,Texas Instruments,TXN,0.24%,Semiconductors & Semiconductor Equipment
82,Adobe Inc.,ADBE,0.22%,Software
90,Palo Alto Networks,PANW,0.21%,Software
91,CrowdStrike,CRWD,0.21%,Software
93,Analog Devices,ADI,0.19%,Semiconductors & Semiconductor Equipment
124,Dell Technologies,DELL,0.14%,"Technology Hardware, Storage & Peripherals"
128,Cadence Design Systems,CDNS,0.14%,Software
139,Synopsys,SNPS,0.12%,Software
152,Corning Inc.,GLW,0.12%,"Electronic Equipment, Instruments & Components"
164,TE Connectivity,TEL,0.11%,"Electronic Equipment, Instruments & Components"
172,Autodesk,ADSK,0.10%,Software
173,Motorola Solutions,MSI,0.10%,Communications Equipment
175,"Workday, Inc.",WDAY,0.10%,Software
180,Fortinet,FTNT,0.10%,Software
191,Datadog,DDOG,0.09%,Software
192,Seagate Technology,STX,0.09%,"Technology Hardware, Storage & Peripherals"
204,Western Digital,WDC,0.09%,"Technology Hardware, Storage & Peripherals"
212,NXP Semiconductors,NXPI,0.08%,Semiconductors & Semiconductor Equipment
214,Roper Technologies,ROP,0.08%,Software
228,Monolithic Power Systems,MPWR,0.07%,Semiconductors & Semiconductor Equipment
235,Fair Isaac,FICO,0.07%,Software
260,Cognizant,CTSH,0.06%,IT Services
285,Keysight Technologies,KEYS,0.05%,"Electronic Equipment, Instruments & Components"
303,First Solar,FSLR,0.05%,Semiconductors & Semiconductor Equipment
304,Hewlett Packard Enterprise,HPE,0.05%,"Technology Hardware, Storage & Peripherals"
307,Microchip Technology,MCHP,0.05%,Semiconductors & Semiconductor Equipment
317,Broadridge Financial Solutions,BR,0.04%,IT Services
319,Teradyne,TER,0.04%,Semiconductors & Semiconductor Equipment
340,Verisign,VRSN,0.04%,IT Services
341,Teledyne Technologies,TDY,0.04%,"Electronic Equipment, Instruments & Components"
345,HP Inc.,HPQ,0.04%,"Technology Hardware, Storage & Peripherals"
357,NetApp,NTAP,0.04%,"Technology Hardware, Storage & Peripherals"
362,Jabil,JBL,0.03%,"Electronic Equipment, Instruments & Components"
368,PTC Inc.,PTC,0.03%,Software
375,Supermicro,SMCI,0.03%,"Technology Hardware, Storage & Peripherals"
382,Tyler Technologies,TYL,0.03%,Software
384,ON Semiconductor,ON,0.03%,Semiconductors & Semiconductor Equipment
386,Trimble Inc.,TRMB,0.03%,"Electronic Equipment, Instruments & Components"
390,CDW,CDW,0.03%,"Electronic Equipment, Instruments & Components"
405,GoDaddy,GDDY,0.03%,IT Services
410,Gartner,IT,0.03%,IT Services
413,Gen Digital,GEN,0.03%,Software
421,Qnity Electronics,Q,0.03%,Semiconductors & Semiconductor Equipment
433,"F5, Inc.",FFIV,0.02%,Communications Equipment
447,Akamai Technologies,AKAM,0.02%,IT Services
451,Zebra Technologies,ZBRA,0.02%,"Electronic Equipment, Instruments & Components"
473,EPAM Systems,EPAM,0.02%,IT Services
478,Skyworks Solutions,SWKS,0.02%,Semiconductors & Semiconductor Equipment
501,Solstice Advanced Materials Inc.,SOLS,0.01%,"Electronic Equipment, Instruments & Components"
