year,fempgr_gr,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) -2,0,0,0,1117400,0,0.000,411170,200.000,0,0,0,0.000,0.000,2234799,2234799,0,200.000,200.000,-2234799,-200.000,0.000,326342,331467,1821380
1978,b) (-2 to -0.8],87525,93974,365093,909027,795,0.829,4644,4.843,11485,5801,5684,0.638,1.263,1107507,99602,1007905,10.957,121.834,-1096022,-120.571,2.527,0,0,0
1978,c) (-0.8 to -0.2],414877,466962,3934271,4864721,5209,1.112,8458,1.805,155668,62106,93562,1.277,3.200,2024068,230252,1793816,4.733,41.607,-1868400,-38.407,6.400,0,0,0
1978,d) (-0.2 to -0.01],201692,364244,11737418,12201523,14324,3.932,14383,3.948,714640,233930,480710,1.917,5.857,1644346,332115,1312231,2.722,13.477,-929706,-7.620,11.714,0,0,0
1978,e) (-0.01 to 0.01),1083993,1150680,7083750,7082277,6330,0.551,4246,0.369,289892,86059,203833,1.215,4.093,288282,87542,200740,1.236,4.070,1610,0.023,8.141,0,0,0
1978,f) [0.01 to 0.2),299437,625322,27710978,26653537,33651,5.441,20026,3.238,3545875,719603,2826272,2.700,13.304,1432496,434414,998082,1.630,5.375,2113379,7.929,10.749,0,0,0
1978,g) [0.2 to 0.8),762027,893757,13933690,11719858,26400,2.983,8737,0.987,4786135,532722,4253413,4.545,40.838,344547,140354,204193,1.198,2.940,4441588,37.898,5.880,0,0,0
1978,h) [0.8 to 2),169813,183727,2713630,1733055,7245,4.014,740,0.410,1989286,189260,1800026,10.921,114.785,16820,7018,9802,0.405,0.971,1972466,113.814,1.941,0,0,0
1978,i) 2,539317,547166,2758657,1379329,547166,200.000,0,0.000,2758657,2758657,0,200.000,200.000,0,0,0,0.000,0.000,2758657,200.000,0.000,0,0,0
1979,a) -2,0,0,0,1128317,0,0.000,418233,200.000,0,0,0,0.000,0.000,2256634,2256634,0,200.000,200.000,-2256634,-200.000,0.000,330113,334625,1788168
