Date,ACN,ADBE,AMD,AKAM,APH,ADI,AAPL,AMAT,APP,ANET,ADSK,AVGO,CDNS,CDW,CSCO,CTSH,GLW,CRWD,DDOG,DELL,EPAM,FFIV,FICO,FSLR,FTNT,IT,GEN,GDDY,HPE,HPQ,IBM,INTC,INTU,JBL,KEYS,KLAC,LRCX,MCHP,MU,MSFT,MPWR,MSI,NTAP,NVDA,NXPI,ON,ORCL,PLTR,PANW,PTC,QCOM,ROP,CRM,STX,NOW,SWKS,SMCI,SNPS,TEL,TDY,TER,TXN,TRMB,TYL,VRSN,WDC,WDAY,ZBRA
2000-01-01,,154790400,199690800,15349700,164160000,52376600,12555177600,608900000,,,55503600,,38246900,,986312600,41150400,207420900,,,,,34797200,2421569,,,8426300,183269600,,,299736239,183321540,1406932200,137455200,22395800,,97364300,911718000,124286400,200590200,1274875200,,82273692,113812200,4941456000,,,1544676200,,,53958240,1098378800,2900200,,,,14692400,,65959200,,3034500,35548900,191715000,49146600,1490900,62366800,114326385,,11626425
2000-02-01,,197750000,146979800,11107300,146528000,69935200,7319782400,624787200,,,105488000,,32376500,,1246002200,69062400,158583000,,,,,36682800,2610230,,,5878300,163696000,,,371309608,139666521,965312200,160453800,21292600,,66507800,655155000,83589750,255396600,1334487600,,70131279,110049400,9160848000,,,1192036000,,,37532320,680639600,4268000,,,,10639400,,140844200,,3560000,30683500,201823000,28140600,1038300,49134200,55435287,,16126875
2000-03-01,,254780000,225647000,16738700,196595200,72687400,8698356800,576942400,,,137024400,,33110200,,1209113300,80769600,212273700,,,,,51601800,6269068,,,12705800,161908000,,,408991113,203268134,1131350200,190634600,46595200,,83183600,842185000,126531450,303746600,2028187600,,107190765,150900000,17552160000,,,1381303800,,,37859960,743109200,4477600,,,,10803000,,68625600,,13007200,42006800,254960200,61401000,2097400,102859400,144998817,,29238750
2000-04-01,,203867200,288117600,35834700,200889600,55549400,8662404800,658740600,,,58526000,,26751500,,971808800,39590400,216531900,,,,,51885200,2457005,,,8893900,149243200,,,347537698,176214181,1209578800,151734200,24412500,,115103200,907341000,104693850,191983800,2258146600,,133605249,134388000,6481728000,,,1299359400,,,108445600,736248200,2672400,,,,11161700,,48517600,,4814200,52260000,233164200,35491800,2481200,112108000,57759139,,15009525
2000-05-01,,177685600,220641800,29889100,402867200,56504500,9807750400,774145000,,,37753600,,37223000,,1306291900,37569600,151579200,,,,,63274000,2324706,,,4950000,126254400,,,317704561,129498146,1145907800,174396200,20858000,,131812100,1040886000,87331500,126188600,1344430800,,130989106,119844600,8695584000,,24418300.0,1081648800,,,57454120,939409400,2985000,,,,7458200,,41469200,,2899800,62412900,187896000,87484800,1121700,71298700,32372620,,9555975
2000-06-01,,177846400,176389000,54647400,232355200,61308000,8105204800,443568200,,,34063600,,21649900,,773738600,52401600,176034900,,,,,45113600,3402008,,,6612200,165817600,,,420087872,142482251,851667400,112153000,45553900,,110902700,766222000,72185850,167985600,1467050200,,119537816,113764500,13271304000,,13987700.0,949581800,,,37767480,1135084600,6408400,,,,15621800,,79945400,,2912800,48323900,166510200,42534600,1876400,116813300,43540062,,19392975
2000-07-01,,122200000,196984600,39810800,202140800,66621400,5746770400,578943200,,,104841200,,26469000,,736369500,58156800,183709200,,,,,45046200,3075981,,,6098300,222928000,,,339832018,157036395,829139100,81719600,20522100,,121216600,1187168000,90566550,119351000,1234185800,,86315992,104897700,7280352000,,15203300.0,769943400,,,39000440,625888800,6694200,,,,36193900,,59980800,,1730900,60692200,213534700,51008400,1109000,66244900,38947533,,14416425
2000-08-01,,94094800,250322000,47014000,155408000,76690800,5636086400,707651200,,,48182800,,26476800,,943606900,19068000,169334700,,,,,29644600,1552168,,,2701600,215478400,,,351036234,127609906,688110000,150044400,26425500,,130102400,1292382000,88879500,142127600,1219399800,,67951618,131101000,6079248000,,14983900.0,735063400,,,32105880,406286400,3335600,,,,24420600,,104146000,,8551300,60302300,222566600,55546800,2311800,84268600,61591868,,6089400
2000-09-01,,188908800,176186500,45417700,104912000,66654500,14516930400,565569800,,,28650800,,37536400,,1098540700,51067200,239727600,,,,,50446600,2777628,,,3884300,251162400,,,448908086,112411947,1467990100,84861400,37521100,,126546400,957648000,137279250,255316100,1425533800,,70276442,146566400,5868576000,,9466400.0,953280400,,,29197960,749230000,2872800,,,,20111700,,33570400,,10124200,64785500,229679200,86289000,1212400,97236500,61859909,,9488700
2000-10-01,,221113800,223975700,74132900,139843200,108505800,21905788800,942094200,,,46426400,,31881400,,1359114200,46860000,294635400,,,,,48292400,3432041,,,6469700,321878400,,,523230431,233791458,1423595100,92306800,42941400,,175526600,1300544000,175905300,288380800,2469415600,,116667559,176761300,8841576000,,7716000.0,1160272000,,,46437280,673523400,2786400,,,,32189000,,39344600,,5212200,99797900,308037200,51474600,1668300,144660300,81583191,,16874100
